id,name,category,gender,follower_count,platform
1,Allison Hill,Travel,F,7245,Facebook
2,Noah Rhodes,Technology,M,30299,Twitter
3,Angie Henderson,Technology,F,29115,Twitter
4,Daniel Wagner,Technology,M,60507,YouTube
5,Cristian Santos,Fashion,M,27808,YouTube
6,Connie Lawrence,Beauty,Other,24785,Facebook
7,Abigail Shaffer,Food,F,95070,Instagram
8,Gina Moore,Fashion,F,102612,Facebook
9,Gabrielle Davis,Fitness,F,1921,Instagram
10,Ryan Munoz,Food,Other,40273,Facebook
11,Monica Herrera,Travel,F,27503,YouTube
12,Jamie Arnold,Food,Other,10219,Twitter
13,Lisa Hensley,Food,F,68482,Facebook
14,Michele Williams,Travel,F,19836,Instagram
15,Dylan Miller,Fitness,Other,2902,Twitter
16,Brian Ramirez,Beauty,M,67469,Instagram
17,Holly Wood,Beauty,F,48011,Facebook
18,Derek Zuniga,Food,M,7323,Instagram
19,Lisa Jackson,Travel,F,17510,Twitter
20,Carla Gray,Food,F,32511,YouTube
21,Margaret Hawkins DDS,Gaming,F,30424,YouTube
22,Patty Perez,Fashion,F,5467,Twitter
23,Ethan Adams,Beauty,M,2494,YouTube
24,Tommy Walter,Food,M,7755,YouTube
25,Matthew Foster,Travel,M,46437,Facebook
26,Judy Baker,Food,F,3510,Instagram
27,Justin Baker,Gaming,M,35354,Facebook
28,Stephanie Ross,Travel,F,42582,Instagram
29,Zachary Hicks,Beauty,M,31058,Instagram
30,Anthony Rodriguez,Fitness,M,3778,Instagram
31,Rebecca Henderson,Travel,F,11193,Instagram
32,James Ferrell,Travel,M,40606,Twitter
33,Tricia Valencia,Technology,F,55858,Instagram
34,Nathan Maldonado,Technology,M,43380,Instagram
35,Debra Davidson,Beauty,F,42714,Twitter
36,Jeffrey Chavez,Fitness,M,28032,Facebook
37,Sherri Baker,Food,F,17227,YouTube
38,Cassandra Gaines,Gaming,F,10201,Facebook
39,Elizabeth Fowler,Fashion,F,4563,Twitter
40,Brittany Farmer,Technology,F,41687,Instagram
41,Paula Moreno,Technology,F,8657,Instagram
42,Fred Smith,Gaming,M,48252,Twitter
43,Sherry Decker,Technology,F,11909,Instagram
44,Anthony Humphrey,Food,M,30726,Instagram
45,Angelica Tucker,Technology,F,20747,Twitter
46,Philip Cannon,Fashion,M,57594,Facebook
47,John Pierce,Food,M,29662,YouTube
48,Shane Henderson,Travel,M,7878,Twitter
49,Joshua Blair,Fashion,M,25229,Facebook
50,Eric Carney,Technology,M,40460,YouTube
51,Jessica Holmes,Food,F,5079,YouTube
52,Danny Morgan,Fashion,M,53778,YouTube
53,Crystal Robinson,Food,F,14548,Facebook
54,Mark Perez,Gaming,M,5438,Twitter
55,Shannon Jones,Beauty,Other,16166,Twitter
56,Michael Lewis,Fitness,M,43179,Instagram
57,Timothy Duncan,Fitness,M,78726,Twitter
58,Richard Aguirre,Fitness,M,16449,Twitter
59,Brent Jordan,Travel,M,1548,YouTube
60,John Daniel,Fashion,M,31117,Instagram
61,Victoria Garcia,Technology,F,34645,YouTube
62,Gerald Hensley,Gaming,M,18656,Facebook
63,Connor West,Fitness,M,28496,Facebook
64,Donald Wright,Food,M,20446,Facebook
65,Jessica Callahan,Gaming,F,3233,Twitter
66,Amber Kidd,Fitness,F,21450,Facebook
67,Tracy House,Fitness,Other,23393,Twitter
68,Carol Tucker,Gaming,Other,258652,Twitter
69,James Brown,Fashion,M,18172,Facebook
70,William Baker,Beauty,M,29778,Instagram
71,Jordan Henderson,Food,M,69066,YouTube
72,Whitney Peters,Technology,Other,46720,Instagram
73,Brittney Phillips,Travel,F,89571,YouTube
74,Lauren Daniels,Gaming,Other,5421,YouTube
75,Amy Silva,Technology,F,8180,Twitter
76,Sarah Moore,Fashion,F,12502,Twitter
77,Angela Lopez,Food,F,4671,Facebook
78,Megan Young,Travel,F,23589,Facebook
79,Steve Sanchez,Fitness,M,33793,Instagram
80,Lisa Barnes,Fitness,F,1863,Twitter
81,Kelly Donovan,Food,Other,15417,Instagram
82,Mike Allen,Food,M,38411,Facebook
83,Michael Evans,Beauty,M,86153,Facebook
84,Paul Jones,Beauty,M,279054,Instagram
85,Zachary Ferrell,Gaming,M,59903,Facebook
86,Daniel Baker,Travel,M,25653,Instagram
87,Shirley Suarez,Fitness,F,49819,Twitter
88,Christopher Bass,Food,M,35302,Facebook
89,Lisa Archer,Gaming,F,51740,Facebook
90,Aimee Montoya,Gaming,F,131741,Instagram
91,Matthew Mcmillan,Technology,M,142311,Instagram
92,Brian Rodriguez,Fashion,M,35377,Instagram
93,Denise Jacobs,Food,F,21919,Instagram
94,Christina Walters,Food,F,15013,Facebook
95,John Whitehead,Travel,M,50114,Twitter
96,Anna Henderson,Food,F,146795,Twitter
97,Aaron Wise,Technology,M,9049,YouTube
98,Deborah Figueroa,Gaming,F,9741,YouTube
99,Jessica Smith,Fashion,F,29047,Twitter
100,Stephen Mckee,Beauty,M,50371,Instagram
101,Sandra Aguilar,Gaming,F,16904,Instagram
102,Cameron Parker,Fashion,Other,334425,Facebook
103,Rebecca Valencia,Fashion,F,7548,Facebook
104,Christine Wright,Food,F,35684,YouTube
105,Richard Henson,Fashion,M,17615,YouTube
106,Marc Moore,Fitness,M,44981,Instagram
107,Sharon Cherry,Fashion,F,183301,Instagram
108,Sierra Johnson,Food,F,103418,Instagram
109,Evelyn Galvan,Food,F,8522,Twitter
110,Sharon Cochran,Fitness,F,12125,Facebook
111,Richard Rodriguez,Technology,M,5759,Facebook
112,Shannon Walker,Gaming,Other,4351,YouTube
113,Julia Torres,Technology,F,6990,Facebook
114,Crystal Johnson,Travel,F,88397,Twitter
115,Garrett Lin,Beauty,M,53254,YouTube
116,Diana May,Fitness,F,14054,Twitter
117,William Herrera,Gaming,M,3634,Facebook
118,Ashley Waller,Beauty,Other,35161,Twitter
119,Victor Baker,Beauty,M,10583,Instagram
120,Jeffrey Chandler,Travel,M,26778,Instagram
121,Larry Dixon,Food,M,12632,Instagram
122,Kenneth Scott,Technology,M,19385,Twitter
123,April Frost,Travel,F,4625,Facebook
124,Michelle Harmon,Travel,F,162811,YouTube
125,Helen Jones,Technology,F,25586,Instagram
126,Erin Edwards,Fitness,Other,25359,Facebook
127,Michelle Evans,Beauty,F,31395,YouTube
128,Jason Powell,Fashion,M,3359,Instagram
129,Cameron Fisher,Fashion,Other,38161,Facebook
130,Megan Orr,Food,F,6180,YouTube
131,Elizabeth Kelley,Fashion,F,240154,Facebook
132,Dustin Jordan,Travel,M,139164,Facebook
133,Mary Marshall,Food,Other,22362,Facebook
134,Daniel Kennedy,Gaming,M,34271,Twitter
135,Rebecca Jackson,Fitness,F,14122,Facebook
136,Jose Schultz,Travel,M,4150,YouTube
137,Robert Potter,Fashion,M,10180,YouTube
138,Courtney Gonzalez,Beauty,Other,115994,YouTube
139,David Alvarez,Fitness,M,30265,Twitter
140,Angel Perry,Fitness,M,4393,Facebook
141,Cheyenne Horton,Fashion,F,28884,Instagram
142,David Douglas Jr.,Travel,M,207898,Instagram
143,Patricia Rodriguez,Gaming,F,4820,Instagram
144,Christopher Rubio,Technology,M,13572,Instagram
145,Amber Wright,Gaming,F,11158,Instagram
146,Joyce Solis,Travel,F,16925,Instagram
147,Victoria Larson,Gaming,F,12717,YouTube
148,Stephanie Salazar,Gaming,F,65959,YouTube
149,Kathy Rivas,Fashion,F,15924,Twitter
150,Stephanie Manning,Beauty,F,37220,YouTube
